# Time-averaged data for fix myat2
# TimeStep v_myvol
41000 47521.5
41100 47479.3
41200 47436.2
41300 47391.3
41400 47344.8
41500 47295.9
41600 47244.8
41700 47192.2
41800 47139.5
41900 47088.7
42000 47041.8
42100 47000
42200 46962.6
42300 46928
42400 46893.4
42500 46858.3
42600 46823.5
42700 46788
42800 46751.2
42900 46712.7
43000 46671.9
43100 46628.1
43200 46581
43300 46532.2
43400 46483.7
43500 46436.1
43600 46389.5
43700 46343.5
43800 46297.4
43900 46251.7
44000 46206.8
44100 46162.6
44200 46117.5
44300 46070.3
44400 46020.6
44500 45968.9
44600 45916.4
44700 45863.9
44800 45812.1
44900 45762.1
45000 45714.7
45100 45670.5
45200 45628.3
45300 45586
45400 45541.7
45500 45493.7
45600 45442
45700 45388.1
45800 45333
45900 45277.5
46000 45223.1
46100 45170.1
46200 45118.7
46300 45069.3
46400 45022.6
46500 44979.4
46600 44939.3
46700 44900.1
46800 44860.2
46900 44819
47000 44775.7
47100 44728.3
47200 44677.5
47300 44626.3
47400 44575.3
47500 44523.2
47600 44469
47700 44412.8
47800 44354.9
47900 44294.9
48000 44231.4
48100 44163.9
48200 44094.3
48300 44023.9
48400 43953.2
48500 43882.1
48600 43812.2
48700 43745.1
48800 43681.9
48900 43622.4
49000 43565.5
49100 43508.8
49200 43450.3
49300 43388.8
49400 43323.2
49500 43253.6
49600 43181
49700 43106.7
49800 43032.1
49900 42957.7
50000 42884.1
50100 42811.4
50200 42738.4
50300 42664.3
50400 42589.6
50500 42515.3
50600 42441.4
50700 42366.9
50800 42292
50900 42217
51000 42141.4
51100 42065.5
51200 41990.9
51300 41918
51400 41845.9
51500 41775.4
51600 41707.8
51700 41644.7
51800 41586.6
51900 41533.2
52000 41484.4
52100 41441.2
52200 41402.7
52300 41366.8
52400 41333.2
52500 41300.1
52600 41264.4
52700 41225.2
52800 41181.8
52900 41133.8
53000 41081.4
53100 41025.2
53200 40967.4
53300 40909.1
53400 40849.3
53500 40786.2
53600 40719.6
53700 40651.1
53800 40582.6
53900 40515.9
54000 40452.3
54100 40392.3
54200 40335.5
54300 40281.9
54400 40232.3
54500 40186.9
54600 40144.5
54700 40104.1
54800 40065.6
54900 40028.5
55000 39992
55100 39954.5
55200 39914.7
55300 39872.4
55400 39827
55500 39778.8
55600 39728.9
55700 39679.1
55800 39629.3
55900 39579.3
56000 39529.6
56100 39479.7
56200 39430.1
56300 39381.5
56400 39333.9
56500 39286.8
56600 39239.7
56700 39194.4
56800 39152.2
56900 39112.1
57000 39073.3
57100 39036.1
57200 39001.1
57300 38968.1
57400 38936.7
57500 38905.7
57600 38874.4
57700 38843.5
57800 38814.3
57900 38786.4
58000 38758.4
58100 38729.6
58200 38701
58300 38674
58400 38647.5
58500 38620.7
58600 38592.1
58700 38561.3
58800 38528.5
58900 38495.4
59000 38463.6
59100 38433.4
59200 38405.2
59300 38380.1
59400 38359.1
59500 38342.1
59600 38328.6
59700 38318.2
59800 38311
59900 38306.4
60000 38303.3
60100 38300.9
60200 38297.8
60300 38292.1
60400 38283.6
60500 38272.7
60600 38258.9
60700 38241.6
60800 38221.2
60900 38198.8
61000 38175
61100 38148.9
61200 38121
61300 38093.1
61400 38066.6
61500 38042
61600 38018.5
61700 37995.7
61800 37974.2
61900 37954.6
62000 37937.8
62100 37923.6
62200 37911.3
62300 37900.2
62400 37890.6
62500 37883.4
62600 37878.7
62700 37875.6
62800 37872.7
62900 37869.6
63000 37865.4
63100 37860.1
63200 37854.8
63300 37849.6
63400 37844.9
63500 37841.4
63600 37840.3
