# Time-averaged data for fix myat1
# TimeStep v_mytemp
45500 310.579
45600 302.155
45700 307.747
45800 306.534
45900 298.232
46000 313.229
46100 319.638
46200 316.036
46300 314.745
46400 310.71
46500 305
46600 313.535
46700 316.289
46800 320.396
46900 310.888
47000 323.205
47100 320.101
47200 298.963
47300 297.684
47400 306.165
47500 306.706
47600 318.317
47700 309.04
47800 304.639
47900 309.535
48000 322.353
48100 316.902
48200 319.088
48300 315.847
48400 320.212
48500 316.614
48600 306.445
48700 297.711
48800 290.649
48900 290.44
49000 298.943
49100 299.609
49200 293.341
49300 305.311
49400 303.028
49500 294.418
49600 291.095
49700 292.622
49800 300.81
49900 296.797
50000 299.821
50100 305.669
50200 310.82
50300 315.418
50400 312.437
50500 310.873
50600 319.759
50700 311.865
50800 299.048
50900 306.487
51000 314.122
51100 301.749
51200 306.467
51300 317.343
51400 312.869
51500 312.831
51600 309.106
51700 314.475
51800 317.771
51900 318.854
52000 313.03
52100 306.934
52200 315.978
52300 306.865
52400 302.603
52500 316.159
52600 295.13
52700 305.003
52800 303.421
52900 292.764
53000 299.953
53100 289.946
53200 287.878
53300 286.813
53400 300.731
53500 315.325
53600 305.026
53700 307.671
53800 313.496
53900 313.635
54000 302.983
54100 302.956
54200 324.52
54300 318.138
54400 311.163
54500 307.781
54600 306.188
54700 300.091
54800 309.326
54900 312.915
55000 309.372
55100 305.378
55200 308.697
55300 303.646
55400 302.884
55500 301.446
55600 297.288
55700 300.236
55800 299.771
55900 299.521
56000 308.546
56100 309.995
56200 303.14
56300 310.5
56400 303.89
56500 316.237
56600 310.08
56700 301.956
56800 315.905
56900 314.778
57000 321.049
57100 313.264
57200 299.999
57300 297.693
57400 305.573
57500 314.038
57600 303.465
57700 287.717
57800 293.876
57900 312.282
58000 312.032
58100 310.551
58200 293.963
58300 302.496
58400 290.939
58500 308.106
58600 307.795
58700 304.568
58800 294.251
58900 281.03
59000 300.181
59100 301.501
59200 306.787
59300 300.282
59400 308.685
59500 306.974
59600 313.021
59700 305.61
59800 308.117
59900 320.546
60000 304.449
60100 293.33
60200 303.039
60300 301.18
60400 292.686
60500 299.584
60600 303.418
60700 294.924
60800 290.234
60900 287.293
61000 302.015
61100 286.524
61200 289.788
61300 296.126
61400 288.86
61500 292.116
61600 297.901
61700 307.435
61800 313.766
61900 292.74
62000 302.483
62100 317.909
62200 321.163
62300 311.527
62400 305.969
62500 306.865
62600 302.556
62700 311.94
62800 298.525
62900 313.244
63000 314.27
63100 294.33
63200 299.568
63300 300.531
63400 302.466
63500 301.536
63600 293.628
63700 301.05
63800 310.012
63900 310.957
64000 298.575
64100 305.402
64200 312.006
64300 303.462
64400 295.802
64500 289.328
64600 299.883
64700 296.228
64800 297.712
64900 296.71
65000 299.125
65100 297.642
65200 294.369
65300 311.151
65400 307.666
65500 302.165
65600 301.688
65700 298.544
65800 282.219
65900 295.59
66000 295.364
66100 301.106
66200 301.425
66300 286.447
66400 270.183
66500 285.767
66600 287.012
66700 282.464
66800 280.919
66900 292.046
67000 286.542
67100 281.862
67200 286.979
67300 295.197
67400 284.236
67500 298.83
67600 312.172
67700 295.24
67800 293.224
67900 307.063
68000 295.082
68100 293.584
68200 297.258
68300 288.789
68400 300.316
68500 311.044
68600 315.351
68700 301.645
68800 300.743
68900 302.205
69000 293.861
69100 292.257
69200 289.922
69300 287.174
69400 290.027
69500 300.698
69600 298.037
69700 295.051
