# Time-averaged data for fix myat3
# TimeStep v_mydensity
35400 0.00351147
35500 0.00351444
35600 0.00351772
35700 0.00352127
35800 0.00352502
35900 0.00352878
36000 0.00353236
36100 0.00353564
36200 0.00353854
36300 0.00354105
36400 0.00354319
36500 0.00354506
36600 0.00354677
36700 0.00354839
36800 0.00355005
36900 0.00355183
37000 0.00355379
37100 0.00355607
37200 0.00355867
37300 0.00356151
37400 0.00356458
37500 0.00356793
37600 0.0035716
37700 0.00357559
37800 0.00357979
37900 0.00358412
38000 0.00358847
38100 0.00359278
38200 0.00359706
38300 0.00360141
38400 0.00360586
38500 0.00361031
38600 0.00361462
38700 0.00361868
38800 0.00362243
38900 0.00362587
39000 0.00362908
39100 0.0036322
39200 0.00363522
39300 0.00363815
39400 0.00364107
39500 0.00364415
39600 0.00364756
39700 0.00365136
39800 0.00365557
39900 0.00366024
40000 0.0036653
40100 0.00367055
40200 0.00367564
40300 0.00368029
40400 0.00368442
40500 0.00368804
40600 0.00369127
40700 0.00369429
40800 0.00369727
40900 0.00370036
41000 0.00370358
41100 0.00370687
41200 0.00371025
41300 0.00371376
41400 0.00371741
41500 0.00372125
41600 0.00372528
41700 0.00372943
41800 0.0037336
41900 0.00373763
42000 0.00374135
42100 0.00374468
42200 0.00374766
42300 0.00375043
42400 0.0037532
42500 0.003756
42600 0.0037588
42700 0.00376165
42800 0.00376461
42900 0.00376771
43000 0.00377101
43100 0.00377455
43200 0.00377836
43300 0.00378232
43400 0.00378627
43500 0.00379015
43600 0.00379396
43700 0.00379773
43800 0.00380151
43900 0.00380527
44000 0.00380896
44100 0.00381261
44200 0.00381634
44300 0.00382025
44400 0.00382437
44500 0.00382867
44600 0.00383305
44700 0.00383744
44800 0.00384178
44900 0.00384598
45000 0.00384996
45100 0.00385369
45200 0.00385726
45300 0.00386083
45400 0.00386459
45500 0.00386867
45600 0.00387307
45700 0.00387767
45800 0.00388238
45900 0.00388714
46000 0.00389182
46100 0.00389638
46200 0.00390082
46300 0.0039051
46400 0.00390915
46500 0.0039129
46600 0.00391639
46700 0.00391981
46800 0.0039233
46900 0.0039269
47000 0.00393071
