# Time-averaged data for fix myat1
# TimeStep v_mytemp
45500 298.771
45600 298.682
45700 304.712
45800 310.296
45900 304.358
46000 298.465
46100 302.663
46200 298.516
46300 296.077
46400 302.106
46500 311.246
46600 306.64
46700 300.938
46800 299.211
46900 295.452
47000 303.252
47100 300.867
47200 294.495
47300 289.296
47400 293.343
47500 308.549
47600 305.543
47700 303.135
47800 295.951
47900 293.521
48000 305.859
48100 306.809
48200 311.57
48300 303.316
48400 296.607
48500 292.733
48600 299.039
48700 314.368
48800 299.275
48900 298.064
49000 298.168
49100 290.97
49200 303.419
49300 307.803
49400 306.717
49500 301.8
49600 298.327
49700 298.866
49800 309.33
49900 300.533
50000 293.004
