# Time-averaged data for fix myat2
# TimeStep v_myvol
40900 14813.7
41000 14823.6
41100 14813.8
41200 14775.6
41300 14712.7
41400 14627
41500 14542.1
41600 14448.1
41700 14419.8
41800 14498.4
41900 14607.3
42000 14666.5
42100 14626.7
42200 14483.6
42300 14326.9
42400 14214.3
42500 14113.2
42600 14068.8
42700 14122.5
42800 14133.8
42900 14121.1
43000 14137.8
43100 14169.2
43200 14143
43300 14078.4
43400 13995.5
43500 13968.7
43600 14061.6
43700 14186.5
43800 14291
43900 14380.8
44000 14484.3
44100 14605.6
44200 14621.3
44300 14534.3
44400 14427.3
44500 14321.1
44600 14266.6
44700 14291.9
44800 14305.7
44900 14234.2
45000 14118.1
45100 14032
45200 13942.7
45300 13882.7
45400 13871.9
45500 13893.2
45600 13958.4
45700 14008.6
45800 14056.9
45900 14083.4
46000 14046.7
46100 13968.3
46200 13916.8
46300 13958.7
46400 14069.7
46500 14265.8
46600 14496.2
46700 14657
46800 14680.4
46900 14623.6
47000 14558
47100 14484.4
47200 14447.7
47300 14424.4
47400 14394.3
47500 14396.5
47600 14386.1
47700 14400.5
47800 14414.2
47900 14417.3
48000 14461.9
48100 14495.8
48200 14461.2
48300 14376.5
48400 14338.9
48500 14331.5
48600 14328.5
48700 14345.4
48800 14408.1
48900 14477.2
49000 14558.1
49100 14591.8
49200 14532.8
49300 14424.9
49400 14309.6
49500 14206.3
49600 14131
49700 14101.2
49800 14104.8
49900 14174.3
50000 14315
