# Time-averaged data for fix myat2
# TimeStep v_delta_r
40300 33.7279
40400 33.7918
40500 33.8732
40600 33.6248
40700 33.2406
40800 33.289
40900 33.5048
41000 33.3095
41100 33.2272
41200 33.4787
41300 33.5623
41400 33.8049
41500 33.6806
41600 33.7896
41700 33.9608
41800 34.1615
41900 34.1102
42000 34.0475
42100 33.8708
42200 33.8338
42300 34.2142
42400 34.0587
42500 33.4624
42600 33.2894
42700 33.2406
42800 33.6034
42900 33.6111
43000 33.3227
43100 33.1503
43200 33.1229
43300 33.4993
43400 33.7927
43500 33.6001
43600 33.6263
43700 33.4727
43800 33.9271
43900 33.627
44000 33.7663
44100 33.934
44200 33.9837
44300 34.0484
44400 33.7771
44500 33.8835
44600 33.8889
44700 33.6054
44800 33.7753
44900 33.6048
45000 33.8083
45100 34.0184
45200 34.2912
45300 33.9532
45400 33.5337
45500 33.7699
45600 33.6583
45700 33.7542
45800 34.0751
45900 33.9157
46000 33.6828
46100 33.4961
46200 33.6008
46300 34.0761
46400 33.9301
46500 33.6416
46600 33.8041
46700 33.649
46800 33.5719
46900 33.0545
47000 32.3682
47100 32.434
47200 33.1736
47300 33.8195
47400 33.9969
47500 33.7411
47600 33.7005
47700 33.7735
47800 33.4509
47900 33.5849
48000 33.8061
48100 33.6091
48200 33.455
48300 33.4331
48400 33.9639
48500 34.2437
48600 33.9776
48700 33.6219
48800 33.7444
48900 33.8053
49000 33.7424
49100 33.8175
49200 34.0745
49300 34.0296
49400 33.9246
49500 33.4884
49600 33.4613
49700 33.5295
49800 33.5739
49900 33.5616
50000 33.9941
50100 34.2184
50200 33.9302
50300 33.6048
50400 33.5762
50500 33.797
50600 33.9067
50700 33.7735
50800 33.7347
50900 33.9327
51000 34.2909
51100 33.9445
51200 33.5984
51300 33.5716
51400 33.8332
51500 34.0514
51600 33.7955
51700 33.7358
51800 34.0537
51900 33.8328
52000 33.5207
52100 33.8493
52200 33.705
52300 33.5125
52400 32.9677
52500 33.0029
52600 33.2608
52700 33.7608
52800 34.1903
52900 33.8637
53000 33.7825
53100 33.9165
53200 34.0389
53300 34.0537
53400 34.1028
53500 33.9275
53600 33.7215
53700 33.5855
53800 33.4305
53900 33.7318
54000 33.922
54100 33.6042
54200 33.341
54300 33.0799
54400 32.9651
54500 33.2495
54600 33.6195
54700 33.755
54800 34.0245
54900 33.9136
55000 33.5926
55100 33.503
55200 33.5946
55300 33.5093
55400 33.1619
55500 33.3471
55600 33.5558
55700 34.0185
55800 34.0885
55900 33.9441
56000 33.3294
56100 33.355
56200 33.7307
56300 33.7511
56400 33.8466
56500 33.1518
56600 32.8412
56700 33.0892
56800 33.1499
56900 33.3312
57000 33.4466
57100 33.5597
57200 33.5195
57300 33.7445
57400 33.6365
57500 33.6336
57600 34.0955
57700 34.4427
57800 34.3854
57900 33.8198
58000 33.4615
58100 33.3006
58200 33.4926
58300 33.7091
58400 33.9979
58500 34.2054
58600 34.1256
58700 33.8929
58800 33.818
58900 33.9055
59000 34.1971
59100 34.1861
59200 33.6918
59300 33.2294
59400 33.1984
59500 33.8584
59600 34.1751
59700 33.8942
59800 33.5725
59900 33.8843
60000 34.3571
