# Time-averaged data for fix myat2
# TimeStep v_solute_right
0 50
1000 50
2000 50
3000 50
4000 50
5000 50
6000 50
7000 50
8000 50
9000 50
10000 50
11000 50
12000 50
13000 50
14000 50
15000 50
16000 50
17000 50
18000 50
19000 50
20000 50
21000 50
22000 50
23000 50
24000 50
25000 50
26000 50
27000 50
28000 50
29000 50
30000 50
31000 50
32000 50
33000 50
34000 50
35000 50
36000 50
37000 50
38000 50
39000 50
40000 50
41000 50
42000 50
43000 50
44000 50
45000 50
46000 50
47000 50
48000 50
49000 50
50000 50
51000 50
52000 50
53000 50
54000 50
55000 50
56000 50
57000 50
58000 50
59000 50
60000 50
61000 50
62000 50
63000 50
64000 50
65000 50
66000 50
67000 50
68000 50
69000 50
70000 50
71000 50
72000 50
73000 50
74000 50
75000 50
76000 50
77000 50
78000 50
79000 50
80000 50
81000 50
82000 50
83000 50
84000 50
85000 50
86000 50
87000 50
88000 50
89000 50
90000 50
91000 50
92000 50
93000 50
94000 50
95000 50
96000 50
97000 50
98000 50
99000 50
100000 50
101000 50
102000 50
103000 50
104000 50
105000 50
106000 50
107000 50
108000 50
109000 50
110000 50
111000 50
112000 50
113000 50
114000 50
115000 50
116000 50
117000 50
118000 50
119000 50
120000 50
121000 50
122000 50
123000 50
124000 50
125000 50
126000 50
127000 50
128000 50
129000 50
130000 50
131000 50
132000 50
133000 50
134000 50
135000 50
136000 50
137000 50
138000 50
139000 50
140000 50
141000 50
142000 50
143000 50
144000 50
145000 50
146000 50
147000 50
148000 50
149000 50
150000 50
151000 50
152000 50
153000 50
154000 50
155000 50
156000 50
157000 50
158000 50
159000 50
160000 50
161000 50
162000 50
163000 50
164000 50
165000 50
166000 50
167000 50
168000 50
169000 50
170000 50
171000 50
172000 50
173000 50
174000 50
175000 50
176000 50
177000 50
178000 50
179000 50
180000 50
181000 50
182000 50
183000 50
184000 50
185000 50
186000 50
187000 50
188000 50
189000 50
190000 50
191000 50
192000 50
193000 50
194000 50
195000 50
196000 50
197000 50
198000 50
199000 50
200000 50
201000 50
202000 50
203000 50
204000 50
205000 50
206000 50
207000 50
208000 50
209000 50
210000 50
211000 50
212000 50
213000 50
214000 50
215000 50
216000 50
217000 50
218000 50
219000 50
220000 50
221000 50
222000 50
223000 50
224000 50
225000 50
226000 50
227000 50
228000 50
229000 50
230000 50
231000 50
232000 50
233000 50
234000 50
235000 50
236000 50
237000 50
238000 50
239000 50
240000 50
241000 50
242000 50
243000 50
244000 50
245000 50
246000 50
247000 50
248000 50
249000 50
250000 50
251000 50
252000 50
253000 50
254000 50
255000 50
256000 50
257000 50
258000 50
259000 50
260000 50
261000 50
262000 50
263000 50
264000 50
265000 50
266000 50
267000 50
268000 50
269000 50
270000 50
271000 50
272000 50
273000 50
274000 50
275000 50
276000 50
277000 50
278000 50
279000 50
280000 50
281000 50
282000 50
283000 50
284000 50
285000 50
286000 50
287000 50
288000 50
289000 50
290000 50
291000 50
292000 50
293000 50
294000 50
295000 50
296000 50
297000 50
298000 50
299000 50
300000 50
301000 50
302000 50
303000 50
304000 50
305000 50
306000 50
307000 50
308000 50
309000 50
310000 50
311000 50
312000 50
313000 50
314000 50
315000 50
316000 50
317000 50
318000 50
319000 50
320000 50
321000 50
322000 50
323000 50
324000 50
325000 50
326000 50
327000 50
328000 50
329000 50
330000 50
331000 50
332000 50
333000 50
334000 50
335000 50
336000 50
337000 50
338000 50
339000 50
340000 50
341000 50
342000 50
343000 50
344000 50
345000 50
346000 50
347000 50
348000 50
349000 50
350000 50
351000 50
352000 50
353000 50
354000 50
355000 50
356000 50
357000 50
358000 50
359000 50
360000 50
361000 50
362000 50
363000 50
364000 50
365000 50
366000 50
367000 50
368000 50
369000 50
370000 50
371000 50
372000 50
373000 50
374000 50
375000 50
376000 50
377000 50
378000 50
379000 50
380000 50
381000 50
382000 50
383000 50
384000 50
385000 50
386000 50
387000 50
388000 50
389000 50
390000 50
391000 50
392000 50
393000 50
394000 50
395000 50
396000 50
397000 50
398000 50
399000 50
400000 50
401000 50
402000 50
403000 50
404000 50
405000 50
406000 50
407000 50
408000 50
409000 50
410000 50
411000 50
