# Time-averaged data for fix myat3
# TimeStep v_position_piston_left
831000 -26.1109
832000 -26.1002
833000 -25.976
834000 -25.9484
835000 -25.9185
836000 -25.8987
837000 -26.0112
838000 -26.0833
839000 -25.9477
840000 -25.8852
841000 -25.8242
842000 -25.6815
843000 -25.7687
844000 -25.9048
845000 -25.8442
846000 -25.9885
847000 -25.9855
848000 -25.983
849000 -25.9922
850000 -26.0166
851000 -26.0232
852000 -25.9891
853000 -25.9504
854000 -25.8912
855000 -26.0329
856000 -26.0155
857000 -25.9314
858000 -25.879
859000 -25.9676
860000 -25.8845
861000 -25.8594
862000 -25.7287
863000 -25.6128
864000 -25.5685
865000 -25.58
866000 -25.6489
867000 -25.5913
868000 -25.6101
869000 -25.6731
870000 -25.7619
871000 -25.7872
872000 -25.7167
873000 -25.788
874000 -25.7474
875000 -25.7771
876000 -25.8473
877000 -25.7804
878000 -25.7683
879000 -25.7839
880000 -25.9094
881000 -25.808
882000 -25.9483
883000 -25.889
884000 -25.8128
885000 -25.8471
886000 -25.8178
887000 -25.8668
888000 -25.9451
889000 -25.9643
890000 -25.9734
891000 -25.9246
892000 -25.8748
893000 -26.0124
894000 -26.0577
895000 -26.0015
896000 -26.023
897000 -26.0342
898000 -26.0963
899000 -26.1
900000 -26.0543
901000 -26.0469
902000 -25.9057
903000 -25.9383
904000 -25.9589
905000 -26.0543
906000 -26.0737
907000 -26.0088
908000 -25.8968
909000 -25.9025
910000 -25.8402
911000 -25.756
912000 -25.6751
913000 -25.8363
914000 -25.885
915000 -25.8307
916000 -25.8799
917000 -25.933
918000 -25.9099
919000 -25.9701
920000 -25.8622
921000 -26.0106
922000 -25.9311
923000 -25.8505
924000 -25.6923
925000 -25.8026
926000 -25.8903
927000 -25.8263
928000 -25.8863
929000 -25.8741
930000 -26.0121
931000 -25.8709
932000 -25.9348
933000 -26.0406
934000 -26.0175
935000 -26.2259
936000 -26.1393
937000 -25.9973
938000 -25.9295
939000 -25.9666
940000 -25.9824
941000 -25.9911
942000 -25.896
943000 -25.931
944000 -25.9646
945000 -26.0226
946000 -25.9714
947000 -26.0806
948000 -26.0754
949000 -26.1169
950000 -26.0873
951000 -26.2331
952000 -26.186
953000 -26.1633
954000 -26.1342
955000 -26.0547
956000 -26.0166
957000 -25.9256
958000 -25.9398
959000 -26.0442
960000 -25.8926
961000 -25.955
962000 -26.0845
963000 -26.0903
964000 -26.1636
965000 -26.1794
966000 -26.1245
967000 -26.1877
968000 -25.9688
969000 -25.8817
970000 -25.9171
971000 -25.8811
972000 -25.8977
973000 -25.9048
974000 -25.8862
975000 -25.7175
976000 -25.7738
977000 -25.7229
978000 -25.8279
979000 -25.838
980000 -25.8519
981000 -25.7939
982000 -25.7998
983000 -25.9237
984000 -25.9514
985000 -26.0817
986000 -26.179
987000 -26.1576
988000 -26.1372
989000 -26.0806
990000 -26.1235
991000 -26.1156
992000 -26.0573
993000 -25.9927
994000 -25.9176
995000 -25.9107
996000 -25.816
997000 -25.8646
998000 -25.8351
999000 -25.7706
1000000 -25.8633
