# Time-averaged data for fix myat4
# TimeStep v_position_piston_right
0 29.2341
1000 29.3474
2000 29.2151
3000 29.1521
4000 29.0277
5000 29.064
6000 29.1631
7000 29.1448
8000 29.1079
9000 28.8991
10000 28.8348
11000 28.9539
12000 28.9361
13000 28.8552
14000 29.0717
15000 29.274
16000 29.3029
17000 29.2138
18000 29.0974
19000 28.939
20000 28.8525
21000 29.0159
22000 29.0136
23000 29.0687
24000 29.0495
25000 29.1417
26000 29.1087
27000 29.1673
28000 29.3503
29000 29.3224
30000 29.2915
31000 29.0897
32000 29.2422
33000 29.1735
34000 29.2735
35000 29.2619
36000 29.3651
37000 29.3891
38000 29.3301
39000 29.5217
40000 29.6783
41000 29.7316
42000 29.6957
43000 29.6668
44000 29.4925
45000 29.4772
46000 29.28
47000 29.1304
48000 29.0564
49000 29.2316
50000 29.476
51000 29.2518
52000 29.0443
53000 29.0436
54000 29.1062
55000 29.048
56000 28.9952
57000 29.0159
58000 28.9358
59000 28.9327
60000 28.9473
61000 28.9594
62000 28.937
63000 28.9247
64000 28.7575
65000 28.7002
66000 28.6952
67000 28.7203
68000 28.5845
69000 28.6307
70000 28.7923
71000 28.9044
72000 28.7597
73000 28.6584
74000 28.4833
75000 28.498
76000 28.4837
77000 28.7194
78000 28.7337
79000 28.6099
80000 28.5945
81000 28.4877
82000 28.447
83000 28.4219
84000 28.2088
85000 28.0368
86000 28.0571
87000 28.029
88000 28.1404
89000 28.2443
90000 28.14
91000 28.2359
92000 28.0975
93000 27.9296
94000 27.923
95000 27.8499
96000 27.7852
97000 27.8122
98000 27.7597
99000 27.746
100000 27.6816
101000 27.6319
102000 27.8189
103000 27.8774
104000 28.0506
105000 27.9637
106000 27.9453
107000 27.9179
108000 27.9495
109000 27.9896
110000 27.9363
111000 27.8798
112000 27.8841
113000 27.8708
114000 27.7925
115000 27.7186
116000 27.9565
117000 28.1582
118000 27.9267
119000 27.9591
120000 27.9683
121000 27.8315
122000 27.808
123000 27.7189
124000 27.7867
125000 27.6698
126000 27.7298
127000 27.8248
128000 27.8406
129000 27.9344
130000 27.803
131000 27.9161
132000 27.9905
133000 27.9879
134000 28.0889
135000 28.0696
136000 27.9435
137000 27.9371
138000 27.886
139000 27.8592
140000 27.9841
141000 28.088
142000 28.0686
143000 28.0319
144000 27.9478
145000 27.9264
146000 27.8846
147000 27.9771
148000 27.9363
149000 28.0222
150000 28.0632
151000 28.066
152000 28.0514
153000 28.0115
154000 28.0788
155000 28.0796
156000 28.0548
157000 28.1516
158000 28.2493
159000 28.2513
160000 28.2197
161000 28.1372
162000 27.9237
