# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
1920 0.983151 -0.978476 1.05016
1930 1.01681 -0.977177 1.05455
1940 1.0341 -0.990698 0.993728
1950 1.00468 -0.982411 1.00387
1960 0.97744 -0.97211 1.00531
1970 0.979673 -0.986985 0.932561
1980 0.926453 -0.99212 0.862606
1990 0.935996 -1.00035 0.828054
2000 0.934874 -1.0012 0.849686
2010 0.945457 -1.01237 0.814457
2020 0.964387 -1.00697 0.828785
2030 0.970937 -0.992717 0.892843
2040 0.97092 -0.983558 0.944081
2050 0.952513 -0.98794 0.932459
2060 0.973659 -0.983683 0.967277
2070 0.962462 -0.978027 0.971788
2080 0.971787 -0.972939 0.980262
2090 0.991578 -0.973792 0.968384
2100 0.990378 -0.973928 0.936228
2110 1.00372 -0.973837 0.925501
2120 1.01409 -0.976541 0.911688
2130 1.03456 -0.972951 0.957827
2140 1.01388 -0.980027 0.916294
2150 1.00079 -0.98134 0.893799
2160 1.00899 -0.983937 0.894128
2170 0.98372 -0.971356 0.941268
2180 0.990265 -0.99142 0.887069
2190 0.956062 -0.996027 0.842508
2200 0.968047 -0.988122 0.913517
2210 0.994795 -0.979984 0.963913
2220 1.00509 -0.971313 0.984101
2230 1.02727 -0.973879 0.999856
2240 1.03459 -0.959735 1.05832
2250 1.0279 -0.962545 1.0453
2260 1.01076 -0.948676 1.11427
2270 1.02657 -0.95728 1.0838
2280 1.01143 -0.971644 1.02892
2290 0.98897 -0.967785 1.03962
2300 0.975268 -0.959676 1.06603
2310 1.00601 -0.980627 0.99273
2320 1.01539 -0.993182 0.926883
2330 1.00114 -0.989062 0.911761
2340 1.00898 -1.00151 0.877527
2350 0.998617 -0.972372 0.992765
2360 1.00761 -0.978532 0.990289
2370 1.0266 -0.97557 1.02875
2380 1.01672 -0.962917 1.04327
2390 1.03535 -0.966828 1.04155
2400 1.04568 -0.981304 0.9821
2410 1.01538 -0.979597 0.937304
2420 1.03909 -0.992813 0.862492
2430 1.00512 -0.976959 0.898436
2440 0.988006 -0.995709 0.81857
2450 0.988737 -0.994656 0.822765
2460 0.995771 -0.97893 0.861744
2470 1.00337 -0.966364 0.914902
2480 0.971876 -0.970332 0.907914
2490 0.973003 -0.985988 0.865131
2500 0.994797 -0.987505 0.868024
2510 1.01224 -0.975511 0.932605
2520 1.03622 -0.980419 0.926993
2530 1.03807 -0.978862 0.929478
2540 1.01881 -0.968038 0.957438
2550 1.03109 -0.962913 0.989276
2560 1.00401 -0.968923 0.980593
2570 1.0063 -0.974606 0.976877
2580 1.00373 -0.979975 0.969211
2590 0.997384 -0.995379 0.919076
2600 0.974478 -0.971952 0.984142
2610 0.990728 -0.964242 1.02188
2620 0.993398 -0.961141 1.01173
2630 1.00907 -0.975356 0.951353
2640 1.02927 -0.963094 1.01413
