# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
1000000 50 59.99999999999999
  18 -7.5 1.33569 0.000834806
  19 -6.5 1.05591 0.000659944
  20 -5.5 0.46812 0.000292575
  21 -4.5 0.02076 1.2975e-05
  22 -3.5 0.00433 2.70625e-06
  23 -2.5 0.00292 1.825e-06
  24 -1.5 0.00159 9.9375e-07
  25 -0.5 0.00649 4.05625e-06
  26 0.5 0.00319 1.99375e-06
  27 1.5 0.00093 5.8125e-07
  28 2.5 0.00352 2.2e-06
  29 3.5 0.00361 2.25625e-06
  30 4.5 0.01716 1.0725e-05
  31 5.5 0.35937 0.000224606
  32 6.5 0.81195 0.000507469
  33 7.5 1.01622 0.000635137
  34 8.5 1.18757 0.000742231
  35 9.5 1.23699 0.000773119
  36 10.5 1.27225 0.000795156
  37 11.5 1.34019 0.000837619
  38 12.5 1.40392 0.00087745
  39 13.5 1.42245 0.000889031
  40 14.5 1.39108 0.000869425
  41 15.5 1.44433 0.000902706
  42 16.5 1.52086 0.000950537
  43 17.5 1.61288 0.00100805
  44 18.5 1.67876 0.00104922
  45 19.5 1.73773 0.00108608
  46 20.5 1.78898 0.00111811
  47 21.5 1.7368 0.0010855
  48 22.5 1.699 0.00106188
  49 23.5 1.70313 0.00106446
  50 24.5 1.77557 0.00110973
5000000 50 60.00000000000001
  1 -24.5 1.62711 0.00101694
  2 -23.5 1.66114 0.00103821
  3 -22.5 1.78346 0.00111466
  4 -21.5 1.78228 0.00111392
  5 -20.5 1.82228 0.00113893
  6 -19.5 1.88811 0.00118007
  7 -18.5 1.91279 0.00119549
  8 -17.5 1.8837 0.00117731
  9 -16.5 1.82094 0.00113809
  10 -15.5 1.72164 0.00107602
  11 -14.5 1.61875 0.00101172
  12 -13.5 1.62183 0.00101364
  13 -12.5 1.57571 0.000984819
  14 -11.5 1.55935 0.000974594
  15 -10.5 1.61307 0.00100817
  16 -9.5 1.61143 0.00100714
  17 -8.5 1.57383 0.000983644
  18 -7.5 1.49708 0.000935675
  19 -6.5 1.19253 0.000745331
  20 -5.5 0.51486 0.000321787
  21 -4.5 0.02942 1.83875e-05
  22 -3.5 0.00239 1.49375e-06
  23 -2.5 0.00091 5.6875e-07
  24 -1.5 0.00116 7.25e-07
  25 -0.5 0.0008 5e-07
  26 0.5 0.00068 4.25e-07
  27 1.5 0.00387 2.41875e-06
  28 2.5 0.00338 2.1125e-06
  29 3.5 0.00218 1.3625e-06
  30 4.5 0.01861 1.16312e-05
  31 5.5 0.4686 0.000292875
  32 6.5 1.07674 0.000672962
  33 7.5 1.30362 0.000814762
  34 8.5 1.3506 0.000844125
  35 9.5 1.4076 0.00087975
  36 10.5 1.31958 0.000824737
  37 11.5 1.36994 0.000856213
  38 12.5 1.40405 0.000877531
  39 13.5 1.39943 0.000874644
  40 14.5 1.4266 0.000891625
  41 15.5 1.51707 0.000948169
  42 16.5 1.57581 0.000984881
  43 17.5 1.53357 0.000958481
  44 18.5 1.47245 0.000920281
  45 19.5 1.42627 0.000891419
  46 20.5 1.49454 0.000934087
  47 21.5 1.52681 0.000954256
  48 22.5 1.52814 0.000955088
  49 23.5 1.536 0.00096
  50 24.5 1.51729 0.000948306
6000000 50 60
  1 -24.5 1.6673 0.00104206
  2 -23.5 1.6996 0.00106225
  3 -22.5 1.62996 0.00101873
  4 -21.5 1.6091 0.00100569
  5 -20.5 1.61141 0.00100713
  6 -19.5 1.62989 0.00101868
  7 -18.5 1.65185 0.00103241
  8 -17.5 1.6373 0.00102331
  9 -16.5 1.62274 0.00101421
  10 -15.5 1.5625 0.000976562
  11 -14.5 1.64419 0.00102762
  12 -13.5 1.61993 0.00101246
  13 -12.5 1.57556 0.000984725
  14 -11.5 1.62719 0.00101699
  15 -10.5 1.73274 0.00108296
  16 -9.5 1.71845 0.00107403
  17 -8.5 1.75584 0.0010974
  18 -7.5 1.75929 0.00109956
  19 -6.5 1.4134 0.000883375
  20 -5.5 0.61147 0.000382169
  21 -4.5 0.04812 3.0075e-05
  22 -3.5 0.02602 1.62625e-05
  23 -2.5 0.01657 1.03563e-05
  24 -1.5 0.01001 6.25625e-06
  25 -0.5 0.0089 5.5625e-06
  26 0.5 0.01062 6.6375e-06
  27 1.5 0.00752 4.7e-06
  28 2.5 0.01452 9.075e-06
  29 3.5 0.01422 8.8875e-06
  30 4.5 0.02035 1.27188e-05
  31 5.5 0.33078 0.000206737
  32 6.5 0.75909 0.000474431
  33 7.5 0.97494 0.000609338
  34 8.5 1.04019 0.000650119
  35 9.5 1.18132 0.000738325
  36 10.5 1.25074 0.000781713
  37 11.5 1.32344 0.00082715
  38 12.5 1.36798 0.000854988
  39 13.5 1.46011 0.000912569
  40 14.5 1.48831 0.000930194
  41 15.5 1.56018 0.000975113
  42 16.5 1.64237 0.00102648
  43 17.5 1.63906 0.00102441
  44 18.5 1.66082 0.00103801
  45 19.5 1.65786 0.00103616
  46 20.5 1.65266 0.00103291
  47 21.5 1.81436 0.00113397
  48 22.5 1.84045 0.00115028
  49 23.5 1.76175 0.00110109
  50 24.5 1.63703 0.00102314
7000000 50 60
  1 -24.5 1.75146 0.00109466
  2 -23.5 1.77821 0.00111138
  3 -22.5 1.70195 0.00106372
  4 -21.5 1.62814 0.00101759
  5 -20.5 1.72091 0.00107557
  6 -19.5 1.66582 0.00104114
  7 -18.5 1.60374 0.00100234
  8 -17.5 1.50227 0.000938919
  9 -16.5 1.5872 0.000992
  10 -15.5 1.68736 0.0010546
  11 -14.5 1.63625 0.00102266
  12 -13.5 1.6238 0.00101487
  13 -12.5 1.59888 0.0009993
  14 -11.5 1.44603 0.000903769
  15 -10.5 1.35948 0.000849675
  16 -9.5 1.38097 0.000863106
  17 -8.5 1.24841 0.000780256
  18 -7.5 1.07501 0.000671881
  19 -6.5 0.79084 0.000494275
  20 -5.5 0.34371 0.000214819
  21 -4.5 0.02566 1.60375e-05
  22 -3.5 0.01213 7.58125e-06
  23 -2.5 0.01173 7.33125e-06
  24 -1.5 0.00585 3.65625e-06
  25 -0.5 0.00097 6.0625e-07
  26 0.5 0 0
  27 1.5 0.00171 1.06875e-06
  28 2.5 0.00541 3.38125e-06
  29 3.5 0.01055 6.59375e-06
  30 4.5 0.0281 1.75625e-05
  31 5.5 0.52099 0.000325619
  32 6.5 1.09235 0.000682719
  33 7.5 1.38685 0.000866781
  34 8.5 1.53502 0.000959387
  35 9.5 1.55 0.00096875
  36 10.5 1.58374 0.000989838
  37 11.5 1.60298 0.00100186
  38 12.5 1.54335 0.000964594
  39 13.5 1.56674 0.000979213
  40 14.5 1.67959 0.00104974
  41 15.5 1.6704 0.001044
